OrderID,CustomerType,FirstName,LastName,Price,Quantity,Cost,OriginalPrice,SalePrice,Score,Target,Sales,LastYearSales,Birthdate,Height,Weight
1001,VIP,Laura,Johnson,31,2,106,$105,109,57,1916,2274,1298,1965-10-09,196,104
1002,new,Laura, Johnson ,44,2,35,$143,134,70,585,1340,920,1981-08-24,174,95
1003,VIP,Sarah,Johnson,186,4,43,$104,35,65,1747,2238,1880,1997-05-23,182,58
1004,VIP,Sarah,Brown,92,2,51,50,77,58,683,994,625,1979-01-03,171,65
1005,Member,Sarah,Johnson,43,1,16,161,38,50,770,1827,970,1961-01-12,170,87
1006,VIP,David,Smith,94,3,42,124,92,73,1329,1608,1951,1990-02-11,164,104
1007,Member,John,Brown,21,1,49,77,170,68,899,402,414,1986-05-28,192,119
1008,VIP,Sarah,Smith,105,4,17,113,166,59,1226,606,773,1976-11-28,198,92
1009,VIP,Emily,Anderson,91,3,113,202,22,93,1184,1590,1929,1983-05-26,184,111
1010,Member,Michael,Johnson,35,2,47,209,33,89,1692,2334,1462,1982-07-30,177,74
1011,New,Laura,Anderson,123,4,91,137,179,63,1065,664,1585,1987-09-20,153,68
1012,member,Emily,Brown,120,1,100,46,177,76,1770,1704,502,1961-02-12,158,94
1013, New ,Laura,Johnson,115,3,61,108,187,78,1247,1256,1172,1974-07-30,192,92
1014,New,Michael,Anderson,139,2,17,48,40,70,843,955,1780,1997-11-22,196,92
1015,New,David,Brown,172,1,14,46,85,86,1813,435,708,1971-05-16,182,75
